Data,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,pl 563 Nigerian Airforce Hospital Jos,May-24,94,94,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,pl 563 Nigerian Airforce Hospital Jos,Jun-24,102,102,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,pl 563 Nigerian Airforce Hospital Jos,Jul-24,167,167,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Community Health and Research Center Port Harcourt,Oct-23,778,778,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Community Health and Research Center Port Harcourt,Nov-23,835,835,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Community Health and Research Center Port Harcourt,Dec-23,227,227,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Community Health and Research Center Port Harcourt,Jan-24,885,885,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Community Health and Research Center Port Harcourt,Feb-24,719,719,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Community Health and Research Center Port Harcourt,Mar-24,696,696,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Community Health and Research Center Port Harcourt,Apr-24,838,838,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Community Health and Research Center Port Harcourt,May-24,1683,1683,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Community Health and Research Center Port Harcourt,Jun-24,867,867,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Community Health and Research Center Port Harcourt,Jul-24,523,523,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Military Hospital Portharcourt,Oct-23,246,246,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Military Hospital Portharcourt,Nov-23,208,208,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Military Hospital Portharcourt,Dec-23,228,228,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Military Hospital Portharcourt,Jan-24,265,265,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Military Hospital Portharcourt,Feb-24,219,219,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Military Hospital Portharcourt,Mar-24,199,199,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Military Hospital Portharcourt,Apr-24,223,223,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Military Hospital Portharcourt,May-24,246,246,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Military Hospital Portharcourt,Jun-24,217,217,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Military Hospital Portharcourt,Jul-24,230,230,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Borokiri,Oct-23,68,68,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Borokiri,Nov-23,143,143,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Borokiri,Dec-23,101,101,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Borokiri,Jan-24,94,94,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Borokiri,Feb-24,76,76,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Borokiri,Mar-24,63,63,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Borokiri,Apr-24,64,64,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Borokiri,May-24,67,67,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Borokiri,Jun-24,64,64,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Borokiri,Jul-24,118,118,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Onne,Oct-23,78,78,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Onne,Nov-23,63,63,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Onne,Dec-23,106,106,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Onne,Jan-24,52,52,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Onne,Feb-24,34,34,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Onne,Mar-24,30,30,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Onne,Apr-24,67,67,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Onne,May-24,48,48,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Onne,Jun-24,63,63,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Naval Medical Centre Onne,Jul-24,39,39,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Nigerian Airforce Reference Hospital Port Harcourt,Oct-23,117,117,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Nigerian Airforce Reference Hospital Port Harcourt,Nov-23,150,150,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Nigerian Airforce Reference Hospital Port Harcourt,Dec-23,128,128,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Nigerian Airforce Reference Hospital Port Harcourt,Jan-24,135,135,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Nigerian Airforce Reference Hospital Port Harcourt,Feb-24,119,119,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Nigerian Airforce Reference Hospital Port Harcourt,Mar-24,91,91,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Nigerian Airforce Reference Hospital Port Harcourt,Apr-24,130,130,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Nigerian Airforce Reference Hospital Port Harcourt,May-24,167,167,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Nigerian Airforce Reference Hospital Port Harcourt,Jun-24,195,195,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ri Nigerian Airforce Reference Hospital Port Harcourt,Jul-24,191,191,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,so 8 Division Medical Services and Hospital Sokoto,Oct-23,58,58,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,so 8 Division Medical Services and Hospital Sokoto,Nov-23,107,107,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,so 8 Division Medical Services and Hospital Sokoto,Dec-23,103,103,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,so 8 Division Medical Services and Hospital Sokoto,Jan-24,77,77,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,so 8 Division Medical Services and Hospital Sokoto,Feb-24,85,85,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,so 8 Division Medical Services and Hospital Sokoto,Mar-24,89,89,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,so 8 Division Medical Services and Hospital Sokoto,Apr-24,94,94,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,so 8 Division Medical Services and Hospital Sokoto,May-24,96,96,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,so 8 Division Medical Services and Hospital Sokoto,Jun-24,87,87,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,so 8 Division Medical Services and Hospital Sokoto,Jul-24,75,75,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ta 20 Battalion Medical Reception Station Serti Taraba,Oct-23,42,42,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ta 20 Battalion Medical Reception Station Serti Taraba,Nov-23,125,125,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ta 20 Battalion Medical Reception Station Serti Taraba,Dec-23,432,432,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ta 20 Battalion Medical Reception Station Serti Taraba,Jan-24,25,25,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,Oct-23,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,Nov-23,7,7,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,Dec-23,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,Jan-24,8,8,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,Feb-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Oct-23,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Nov-23,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Dec-23,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Jan-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Feb-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Mar-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Apr-24,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ad 23 Brigade Medical Centre Yola,May-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Jun-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Jul-24,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Oct-23,12,12,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Nov-23,10,10,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Dec-23,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Jan-24,5,5,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Feb-24,13,13,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Mar-24,5,5,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Apr-24,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,May-24,9,9,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Jun-24,5,5,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Jul-24,7,7,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Oct-23,7,7,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Nov-23,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Jan-24,7,7,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Feb-24,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Mar-24,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Apr-24,5,5,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,May-24,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Jun-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Jul-24,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Nov-23,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Dec-23,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Jan-24,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Feb-24,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Mar-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Apr-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Jul-24,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Nov-23,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Dec-23,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Jan-24,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Feb-24,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Mar-24,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Apr-24,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,May-24,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Jun-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Jul-24,5,5,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,Feb-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Oct-23,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Nov-23,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Feb-24,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Apr-24,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,May-24,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ba 33 Brigade Medical Center Shadawanka,Jun-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Dec-23,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Jan-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Feb-24,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,Mar-24,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ba Nigerian Army Amoured Centre Medical Reception Station Bauchi,May-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Oct-23,6,6,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Nov-23,9,9,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Dec-23,6,6,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Jan-24,5,5,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Feb-24,11,11,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Mar-24,8,8,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Apr-24,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,May-24,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,be 161 Nigerian Airforce Hospital Makurdi,Jun-24,6,6,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,be 401 Special Forces Brigade Medical Center Makurdi,Apr-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Oct-23,7,7,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Nov-23,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Dec-23,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Jan-24,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Mar-24,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Apr-24,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,May-24,8,8,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Jun-24,5,5,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,bo 7 Division Medical Services and Hospital Maiduguri,Jul-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Oct-23,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Nov-23,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Dec-23,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Jan-24,5,5,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Feb-24,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Mar-24,5,5,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Apr-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,May-24,5,5,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Jun-24,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,cr Nigerian Navy Reference Hospital Calabar,Jul-24,9,9,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,de Nigerian Navy Hospital Warri,Oct-23,5,5,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,de Nigerian Navy Hospital Warri,Nov-23,10,10,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,de Nigerian Navy Hospital Warri,Dec-23,6,6,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,de Nigerian Navy Hospital Warri,Jan-24,11,11,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,de Nigerian Navy Hospital Warri,Feb-24,9,9,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,de Nigerian Navy Hospital Warri,Mar-24,10,10,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,de Nigerian Navy Hospital Warri,Apr-24,8,8,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,de Nigerian Navy Hospital Warri,May-24,7,7,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,de Nigerian Navy Hospital Warri,Jun-24,9,9,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,de Nigerian Navy Hospital Warri,Jul-24,6,6,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ed 4 Brigade Medical Centre Benin,Dec-23,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ed Military Hospital Benin,Oct-23,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ed Military Hospital Benin,Nov-23,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ed Military Hospital Benin,Dec-23,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ed Military Hospital Benin,Jan-24,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ed Military Hospital Benin,Feb-24,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ed Military Hospital Benin,Mar-24,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ed Military Hospital Benin,Apr-24,2,2,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ed Military Hospital Benin,May-24,6,6,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ed Military Hospital Benin,Jun-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,ed Military Hospital Benin,Jul-24,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,en 82 Division Medical Services and Hospital Enugu,Oct-23,13,13,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,en 82 Division Medical Services and Hospital Enugu,Nov-23,11,11,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,en 82 Division Medical Services and Hospital Enugu,Dec-23,7,7,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,en 82 Division Medical Services and Hospital Enugu,Jan-24,10,10,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,en 82 Division Medical Services and Hospital Enugu,Feb-24,15,15,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,en 82 Division Medical Services and Hospital Enugu,Mar-24,8,8,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,en 82 Division Medical Services and Hospital Enugu,Apr-24,11,11,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,en 82 Division Medical Services and Hospital Enugu,May-24,6,6,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,en 82 Division Medical Services and Hospital Enugu,Jun-24,15,15,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,en 82 Division Medical Services and Hospital Enugu,Jul-24,12,12,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,fc 063 Nigerian Airforce Hospital Abuja,Oct-23,1,1,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,fc 063 Nigerian Airforce Hospital Abuja,Nov-23,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,fc 063 Nigerian Airforce Hospital Abuja,Dec-23,4,4,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,fc 063 Nigerian Airforce Hospital Abuja,Jan-24,7,7,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,fc 063 Nigerian Airforce Hospital Abuja,Feb-24,3,3,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,fc 063 Nigerian Airforce Hospital Abuja,Mar-24,6,6,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,fc 063 Nigerian Airforce Hospital Abuja,Apr-24,5,5,1,1,1,1
HTS_TST_POS: Newly Identified HIV-Positives (Including KP) FY23,fc 063 Nigerian Airforce Hospital Abuja,May-24,7,7,1,1,1,1
